level,name,novelty_factor
genus,Maxillopoda.U.genus,inf
genus,Turbellaria.U.genus,inf
genus,Bullinularia,inf
genus,Centroplasthelida_X.U.genus,inf
genus,Scytomonadidae.U.genus,inf
genus,Nolandellidae_X,inf
genus,Rhogostoma-lineage_X,inf
genus,Copromyxa,inf
genus,Vorticella,inf
genus,Monocystis,inf
genus,Dino-Group-I-Clade-1_X,inf
genus,Sawyeria,inf
genus,Chaetonotus,inf
genus,Dino-Group-II-Clade-3_X,inf
genus,Bellemerea,inf
genus,Thaumatomonadida.U.genus,inf
genus,Euamoebida.U.genus,inf
genus,Allogromiina,inf
genus,Suctoria_XX,inf
genus,Endostelium,inf
genus,Dino-Group-II-Clade-1_X,inf
genus,Cyclotrichium,inf
genus,Schizoplasmodiidae.U.genus,inf
genus,AND16-lineage_X,inf
genus,Arcellinida.U.genus,inf
genus,Neocercomonas,inf
genus,Scytomonas,inf
genus,Maxillopoda_X,inf
genus,Flamella,inf
genus,Coccidiomorphea.U.genus,inf
genus,Archamoebea.U.genus,inf
genus,Bicoecaceae_X,inf
genus,Phryganellina.U.genus,inf
genus,Rigifilida_XXXX.U.genus,inf
genus,Peritrichia_2.U.genus,inf
genus,Picomonas,inf
genus,Cavernomonas,inf
genus,Mariager-Fjord-lineage_X,inf
genus,Sey055-lineage_X,inf
genus,NPK2-lineage_X,inf
genus,Trimitus,inf
genus,Mb5C-lineage_X,inf
genus,Hartmannella,inf
genus,Hartmannellidae.U.genus,inf
genus,Peronosporomycetes_X.U.genus,inf
genus,Protaspa-lineage_X,inf
genus,Neobodo,inf
genus,Collophidium,inf
genus,Novel-Gran-6_X,inf
genus,Fusiforma,inf
genus,Novel-clade-10_XX,inf
genus,Urotricha,inf
genus,Acineta_1,inf
genus,Stygamoebida_XXX,inf
genus,Suctoria.U.genus,inf
genus,Sessilida.U.genus,inf
genus,Anthoptilum,inf
genus,Chaos,inf
genus,Filoreta,inf
genus,Korotnevella,inf
genus,Mastigella,inf
genus,Actinocephalidae.U.genus,inf
genus,Filosa-Thecofilosea.U.genus,inf
genus,Gromia,inf
genus,Tokophrya,inf
genus,Filosa-Sarcomonadea.U.genus,inf
genus,LOS7N/I-lineage_X,inf
genus,Spinibdella,inf
genus,Physochila,inf
genus,Ptolemeba,inf
genus,Physcomitrella,inf
genus,Elardia.U.genus,inf
genus,Paradinium,inf
genus,Gyropaigne,inf
genus,Tholomura,inf
genus,Trochilia,inf
genus,Distigma,inf
genus,Spadicoides,inf
genus,NC12A-lineage_X,inf
genus,Glissomonadida.U.genus,inf
genus,Unclassified_Provorticidae,inf
genus,Xiphocephalus,inf
genus,Hemimastix,inf
genus,Schizoplasmodium,inf
genus,Coccomyxa,inf
genus,Ceratiomyxella,inf
genus,Cercomonas,inf
genus,Centroplasthelida_XXXXX,inf
genus,Diptilomiopus,inf
genus,Gadixcellia,inf
genus,Dino-Group-II-Clade-14_X,inf
